country,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31
Africa,7.515,7.584,7.583,7.903,8.413,8.406,8.564,8.764,8.898,9.195,9.262,9.176,9.377,9.434,9.503,9.594,9.56,9.652,9.64,9.565,9.537,9.542,9.49,9.431,9.395,9.304,9.434,9.4,9.474,9.48,9.486,9.537,9.773,9.764,9.937,10.006,10.09,10.32,10.629,10.866,11.132,11.407,11.617,11.979,12.203,12.457,12.627,12.957,12.961,13.189,13.392,13.649,14.169,14.723,15.047,15.36,15.343,15.305,15.268,15.771,16.164,16.23,16.513,16.939,17.548,18.299,18.879,19.424,20.548,21.825,22.515,23.179,22.977,22.707,22.635,22.076,21.296,20.934,20.301,20.159,19.732,18.967,18.573,18.467,17.79,17.131,16.737,15.962,15.264,14.572,13.544,13.108,12.813,12.339,11.696,11.35,11.203,10.779,10.452,10.195,9.888,9.704,9.462,8.877,8.7,8.617,8.476,8.308,8.179,7.991,7.917,7.74,7.615,7.812,7.664,7.722,7.549,7.55,7.416,7.306,7.122,7.148,7.158,7.266,7.054,7.092,7.084,7.049,7.007,6.74,6.622,6.712,6.698,6.75,6.769,6.867,7.776,7.851,8.083,8.136,8.147,8.128,8.144,7.846,7.889,7.81,7.82,7.896,8.01,8.093,8.04,8.072,8.131,8.089,8.084,8.088,7.996,8.007,8.103,8.009,8.13,8.128,8.286,8.277,8.361,8.317,8.319,8.423,8.391,8.263,8.375,8.328,8.196,8.327,8.253,8.196,8.042,7.838,7.558,7.367,7.07,6.843,6.617,6.401,6.317,5.853,5.93,5.904,5.93,6.037,6.06,6.114,6.248,6.127,5.915,5.795,5.75,5.831,5.959,6.022,6.196,6.403,6.719,6.853,6.945,6.81,6.963,7.059,7.257,7.482,7.594,7.744,8.113,8.367,8.471,8.724,9.007,9.228,9.346,9.513,9.956,10.823,11.47,11.882,12.408,12.935,13.746,14.342,14.821,15.298,15.794,16.373,16.818,17.236,18.125,18.875,19.575,20.447,21.011,21.428,21.768,22.114,22.86,24.059,25.094,25.375,25.752,26.211,27.147,27.718,28.359,28.452,28.848,29.519,30.09,29.822,29.446,28.975,28.454,28.461,27.958,27.394,26.418,25.464,24.957,24.692,24.314,24.067,24.327,25.577,26.553,27.478,27.461,27.551,28.242,28.059,27.595,29.744,29.731,29.764,29.787,28.643,29.349,28.378,26.204,25.57,25.384,25.107,25.71,25.089,27.963,27.507,27.153,26.863,26.45,26.137,25.954,23.459,23.027,22.703,22.242,21.845,21.578,20.611,19.919,19.218,18.232,17.646,17.456,16.639,16.287,15.53,14.912,14.17,13.555,13.03,14.339,13.859,13.673,13.265,12.873,12.525,12.26,10.737,10.37,10.145,9.774,9.449,9.212,8.834,8.434,8.129,7.729,7.46,7.189,6.92,6.839,6.566,6.397,6.112,5.894,5.562,5.368,5.225,5.143,5.024,4.74,4.645,4.65,4.612,4.51,4.465,4.338,4.187,4.126,3.968,3.942,3.933,3.982,4.0,3.995,3.883,3.824,3.788
Algeria,8.405,6.856,7.231,7.957,9.026,10.018,10.941,12.023,13.104,14.212,15.048,15.713,16.464,17.301,17.905,18.758,19.55,20.272,20.819,21.57,22.127,22.852,23.155,23.571,23.53,23.727,23.584,23.664,23.412,23.326,22.754,22.458,21.688,20.877,20.011,19.187,17.899,16.747,15.685,14.8,13.97,13.158,12.249,12.0,11.609,11.113,10.671,10.34,9.999,9.866,9.742,9.557,9.678,9.78,9.767,9.786,9.691,8.24,8.071,8.787,8.281,7.814,7.324,6.869,7.623,7.212,5.755,5.638,5.599,5.58,5.523,5.485,5.625,5.536,5.552,5.485,5.402,5.373,5.482,5.408,5.555,5.488,5.545,5.593,5.609,5.606,5.587,5.577,5.593,5.609,5.577,5.545,5.485,5.548,5.59,5.634,5.542,5.504,5.564,5.52,5.466,5.3,5.307,5.326,5.284,5.163,5.03,4.804,4.661,4.355,4.126,3.98,3.837,3.818,3.85,3.862,3.83,3.834,3.805,3.738,3.694,3.662,3.601,3.624,3.636,3.64,3.633,3.585,3.541,3.461,3.468,3.372,3.306,3.28,3.271,3.172,3.204,3.153,3.061,2.936,2.838,2.688,2.574,2.386,2.23,2.186,2.176,2.16,2.198,2.265,2.399,2.421,2.456,2.462,2.501,2.523,2.602,2.583,2.583,2.615,2.717,2.844,2.882,2.927,3.089,3.264,3.411,3.525,3.582,3.69,3.795,3.815,3.885,3.942,3.977,4.072,4.158,4.301,4.473,4.782,4.919,5.011,5.09,5.106,5.265,5.383,5.113,5.039,5.055,5.033,4.998,4.721,4.486,4.505,4.349,4.117,3.84,3.808,3.85,3.862,4.031,4.374,4.635,4.928,5.16,5.307,5.568,5.631,5.612,5.743,5.933,6.064,6.226,6.344,6.522,6.881,7.079,7.104,7.222,7.41,7.616,7.569,7.527,7.6,7.731,7.823,7.852,7.712,7.906,7.928,8.005,8.081,8.119,8.157,8.243,8.154,8.122,8.04,8.071,8.1,8.113,8.199,8.501,8.838,9.207,9.563,9.945,10.238,10.836,11.38,12.513,13.645,14.67,15.888,17.294,18.341,19.897,21.061,21.997,22.992,23.944,25.137,26.113,26.428,26.915,27.545,28.143,29.187,29.969,32.215,33.262,33.806,33.482,33.116,32.648,31.894,30.52,29.731,28.719,28.518,28.035,26.87,25.827,23.756,22.362,21.271,20.04,18.713,17.816,16.913,16.521,16.022,15.125,14.367,13.76,13.111,12.608,12.048,11.44,11.231,11.135,11.386,11.087,10.989,10.677,10.311,9.932,9.506,9.042,8.714,8.16,7.747,7.508,7.165,6.881,6.567,6.325,5.991,5.752,5.453,5.294,4.46,4.874,4.661,4.518,4.301,4.117,3.897,4.295,3.57,3.535,3.49,3.423,3.423,3.398,3.446,3.395,3.302,3.185,3.096,2.917,2.771,2.65,2.571,2.482,2.367,2.319,2.319,2.284,2.256,2.192,2.128,2.109,2.001,1.89,1.836,1.753,1.705,1.715,1.708,1.718,1.785,1.868,1.934
Angola,6.639,6.358,6.848,6.98,7.358,6.683,6.142,5.612,5.828,4.973,4.576,3.833,4.034,4.171,4.086,3.753,4.022,3.89,4.323,4.171,4.171,4.183,4.09,3.709,3.609,3.155,2.974,2.705,2.449,2.027,2.043,1.999,1.77,1.947,1.802,1.959,2.043,1.919,1.947,2.264,2.28,2.509,2.396,2.525,2.541,2.42,2.244,2.011,1.867,1.83,1.642,1.766,2.103,2.188,2.156,2.099,2.392,2.224,2.284,2.015,2.103,1.883,1.842,1.614,1.782,1.545,1.73,1.69,1.999,2.2,2.212,2.288,2.356,2.252,2.565,2.461,2.445,2.738,2.697,2.681,2.681,2.264,2.368,2.416,2.103,2.208,2.176,1.955,1.987,1.822,1.666,1.594,1.417,1.393,1.433,1.301,1.232,1.124,1.164,1.136,1.056,1.096,1.064,1.06,1.072,1.124,1.08,0.907,0.763,0.767,0.739,0.682,0.614,0.67,0.783,0.963,0.975,1.128,1.136,1.156,1.228,1.196,1.136,1.148,1.072,1.096,1.12,1.02,0.931,0.955,0.899,0.959,1.076,1.18,1.2,1.333,1.317,1.417,1.513,1.497,1.417,1.405,1.317,1.393,1.429,1.297,1.345,1.325,1.505,1.638,1.907,1.947,2.015,2.2,2.28,2.348,2.822,2.806,2.846,3.111,3.019,3.316,3.34,3.259,3.336,3.384,3.532,3.89,3.741,3.89,3.87,4.183,4.415,4.644,4.785,4.897,4.785,5.142,5.158,5.539,5.511,5.311,5.555,5.712,5.387,5.463,5.981,6.218,6.671,7.013,6.993,7.474,7.53,7.121,7.342,7.534,7.615,7.675,7.623,8.161,7.892,7.542,7.205,7.241,7.37,7.579,7.627,7.811,8.169,8.153,7.727,7.739,7.302,6.511,6.154,5.471,5.676,5.644,5.23,5.026,4.797,4.757,4.608,4.038,3.745,3.757,3.681,3.769,3.87,4.062,4.03,3.906,3.845,3.825,3.645,3.219,3.629,3.709,3.524,3.472,3.243,3.4,3.508,2.882,2.585,2.705,2.758,2.782,2.577,2.521,2.818,2.846,2.922,3.031,3.063,3.356,3.761,3.372,3.316,3.4,3.416,3.705,3.613,3.512,4.006,4.13,3.914,3.906,4.211,4.259,4.339,4.082,4.179,4.155,4.179,3.653,3.492,3.143,3.384,3.271,3.4,3.32,3.492,3.372,3.633,3.368,3.777,3.833,3.95,4.311,4.725,4.62,5.038,5.154,5.331,5.399,5.523,5.475,5.612,5.403,5.066,4.909,5.038,4.833,4.985,5.142,5.347,5.604,5.973,5.857,6.302,6.294,6.519,6.752,7.518,7.185,6.647,7.759,8.261,8.827,9.092,7.864,7.936,8.823,7.711,7.948,8.08,8.317,9.987,10.83,11.797,12.331,12.829,13.676,15.237,15.286,15.342,15.205,15.474,15.514,14.274,11.829,10.605,9.774,8.867,7.623,6.804,6.35,6.354,6.198,5.877,5.748,5.632,4.805,4.745,4.355,3.958,4.09,3.685,3.356,3.155,2.645,2.449,2.404
Benin,1.348,1.348,1.091,1.091,1.091,1.091,1.091,0.663,1.048,1.059,1.059,1.059,1.059,1.059,1.059,1.102,0.77,0.77,0.77,0.77,0.77,0.77,0.342,0.621,0.621,0.621,0.621,0.621,0.621,1.059,0.867,0.867,0.867,0.867,0.867,0.867,0.621,0.374,0.374,0.374,0.374,0.374,0.374,0.182,0.663,0.663,0.663,0.663,0.663,0.824,0.824,0.567,0.567,0.567,0.567,0.567,0.407,0.899,0.492,0.492,0.492,0.492,0.492,0.492,0.0,0.567,0.567,0.567,0.567,0.567,0.567,1.198,1.166,1.166,1.166,1.166,1.166,1.166,0.535,1.808,1.808,1.808,2.461,2.461,2.461,2.461,2.183,2.183,2.183,1.53,1.53,2.675,2.675,3.563,3.563,3.563,4.354,4.354,3.21,3.21,4.718,4.718,4.718,3.926,3.926,3.926,9.051,6.237,6.237,6.237,6.237,6.237,9.351,4.226,5.253,5.253,5.253,5.253,5.253,2.14,6.815,4.675,4.675,4.675,4.675,4.675,4.675,2.857,4.6,4.6,4.6,4.6,4.6,4.6,5.135,3.391,3.391,3.391,3.391,3.391,3.391,3.017,3.017,3.017,3.017,3.017,3.017,3.017,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.161,2.161,2.161,2.161,2.161,2.161,2.161,1.027,1.027,1.027,1.027,1.027,1.027,1.027,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.081,1.081,1.081,1.081,1.081,1.081,1.081,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.0,0.0,0.0,0.856,0.856,0.856,0.856,1.605,1.605,1.605,0.749,0.749,0.749,0.749,2.29,2.29,2.29,2.29,2.29,2.29,2.29,4.889,4.889,4.889,4.889,4.889,4.889,16.85,11.961,11.961,11.961,11.961,11.961,11.961,0.0,24.703,24.703,24.703,24.703,24.703,24.703,24.703,36.803,36.803,47.652,47.652,47.652,47.652,70.761,33.957,35.926,25.078,25.078,25.078,25.078,25.078,25.078,23.109,23.109,23.109,23.109,23.109,16.134,16.134,16.134,16.134,16.134,16.134,16.134,9.971,9.971,9.971,9.971,9.971,9.971,9.971,4.761,4.761,4.761,4.761,4.761,4.761,4.761,2.407,2.407,2.407,2.407,2.407,2.407,2.407,1.262,1.262,1.262,1.262,1.262,1.262,1.262,0.76,0.76,0.76,0.76,0.76,0.76,0.76
Botswana,39.05,39.05,19.498,19.498,64.794,64.794,64.794,64.794,64.794,64.794,64.794,0.0,21.182,21.182,21.182,50.565,68.868,68.868,95.535,74.353,74.353,74.353,50.89,48.283,59.798,37.964,41.386,44.482,50.239,49.152,39.376,35.357,34.108,34.977,61.481,68.162,70.769,77.069,77.178,79.187,81.522,51.922,45.785,46.6,40.028,38.181,37.964,35.737,38.67,37.149,34.325,35.792,34.923,37.149,36.009,36.769,37.095,39.05,44.427,55.127,60.286,64.849,72.344,75.928,77.775,74.082,68.705,60.721,56.213,45.025,36.335,66.044,57.245,47.034,74.679,83.858,103.139,114.87,87.334,93.634,127.09,115.848,118.563,111.123,111.394,110.579,117.64,95.155,84.455,82.283,88.366,94.775,105.365,112.969,114.979,118.129,120.03,119.378,119.595,113.892,99.989,92.711,86.085,77.286,75.005,66.206,50.728,43.667,37.964,30.958,24.821,9.83,0.0,162.285,162.285,162.285,162.285,290.244,290.244,290.244,183.303,183.303,183.303,183.303,118.672,118.672,118.672,127.742,127.742,127.742,127.742,113.349,113.349,113.349,75.765,75.765,75.765,75.765,139.039,139.039,139.039,161.47,161.47,161.47,161.47,123.94,123.94,123.94,131.001,131.001,131.001,131.001,101.509,101.509,101.509,97.545,97.545,97.545,97.545,94.177,94.177,94.177,76.091,76.091,76.091,76.091,68.325,68.325,68.325,96.676,96.676,96.676,96.676,237.127,237.127,237.127,193.025,193.025,193.025,193.025,68.705,68.705,68.705,50.184,50.184,50.184,50.184,65.446,65.446,65.446,99.337,99.337,99.337,99.337,96.676,96.676,96.676,108.027,108.027,108.027,108.027,113.186,113.186,113.186,117.423,117.423,117.423,117.423,114.816,114.816,114.816,133.119,133.119,133.119,133.119,170.106,170.106,170.106,177.926,177.926,177.926,177.926,183.195,183.195,183.195,205.028,205.028,205.028,205.028,237.127,237.127,237.127,231.152,231.152,231.152,231.152,91.462,91.462,91.462,74.516,74.516,74.516,74.516,212.143,212.143,212.143,214.261,214.261,214.261,214.261,335.432,335.432,335.432,583.584,583.584,583.584,583.584,638.113,638.113,638.113,625.893,625.893,625.893,625.893,555.178,555.178,555.178,490.601,490.601,490.601,490.601,711.271,711.271,711.271,862.694,862.694,862.694,862.694,844.608,844.608,844.608,445.196,770.363,770.363,770.363,630.509,630.509,630.509,852.157,526.99,526.99,526.99,459.589,459.589,459.589,398.216,398.216,398.216,398.216,330.489,330.489,330.489,300.02,300.02,300.02,300.02,285.627,285.627,285.627,236.149,236.149,236.149,236.149,187.811,187.811,187.811,466.378,466.378,466.378,466.378,442.318,442.318,442.318,226.753,226.753,226.753,226.753,231.478,231.478,231.478,151.694,151.694,151.694,151.694,116.608,116.608,116.608,66.152,66.152,66.152,66.152,57.245,57.245,57.245,77.015,77.015,77.015,77.015,152.074,152.074,152.074,166.358,166.358,166.358,166.358,105.04,105.04,105.04,90.973,90.973,90.973,90.973,70.388,70.388
Burkina Faso,0.365,0.403,0.428,0.46,0.447,0.41,0.384,0.403,0.328,0.296,0.372,0.384,0.441,0.454,0.447,0.441,0.529,0.485,0.504,0.617,0.592,0.643,0.662,0.674,0.725,0.712,0.529,0.762,0.832,1.096,1.468,1.644,1.733,2.136,2.243,2.703,3.39,3.585,4.335,5.059,4.65,5.154,5.633,5.236,5.481,5.425,5.91,6.679,7.12,6.88,7.315,7.561,8.38,8.203,8.197,7.46,6.571,6.779,6.187,4.826,4.373,4.316,4.454,4.927,5.072,5.872,6.338,6.54,6.408,6.496,7.265,7.063,6.193,6.905,6.401,6.571,6.968,6.76,5.992,6.345,5.733,6.143,6.093,5.355,4.732,4.681,4.184,4.146,3.566,3.862,4.058,4.19,4.707,4.669,4.259,4.536,4.076,3.799,3.409,2.917,2.949,2.659,2.489,2.274,2.073,2.022,1.922,1.745,1.626,1.418,1.229,1.153,1.367,1.235,1.159,1.14,1.109,1.254,1.43,1.153,1.128,1.159,1.191,1.159,1.077,0.989,0.989,1.008,1.002,1.084,1.147,1.241,1.203,1.203,1.21,1.235,1.103,1.065,1.046,1.027,1.14,1.09,1.071,1.065,1.109,0.989,0.989,0.901,0.914,0.958,0.977,0.888,0.819,0.788,0.775,0.806,0.788,0.819,0.838,0.964,1.021,1.033,0.907,1.115,1.008,1.002,0.995,0.945,1.002,1.121,0.92,0.932,0.932,0.869,0.844,0.725,0.75,0.68,0.611,0.498,0.422,0.384,0.384,0.334,0.258,0.277,0.365,0.365,0.347,0.365,0.284,0.265,0.239,0.164,0.113,0.113,0.095,0.126,0.126,0.107,0.101,0.12,0.113,0.113,0.076,0.076,0.082,0.088,0.101,0.101,0.12,0.12,0.132,0.158,0.145,0.139,0.139,0.12,0.12,0.101,0.063,0.057,0.044,0.038,0.038,0.032,0.025,0.038,0.05,0.057,0.063,0.063,0.063,0.082,0.076,0.082,0.063,0.057,0.063,0.063,0.05,0.069,0.069,0.101,0.101,0.095,0.132,0.145,0.126,0.113,0.095,0.145,0.164,0.145,0.145,0.158,0.164,0.17,0.12,0.101,0.088,0.063,0.044,0.038,0.032,0.044,0.088,0.12,0.145,0.183,0.221,0.246,0.284,0.258,0.271,0.246,0.258,0.233,0.258,0.233,0.221,0.208,0.227,0.384,0.384,0.34,0.328,0.321,0.302,0.347,0.17,0.176,0.239,0.239,0.302,0.359,0.372,0.372,0.378,0.29,0.296,0.271,0.252,0.309,0.403,0.428,0.517,0.561,0.523,0.573,0.466,0.554,0.643,0.636,0.624,0.624,0.655,0.706,0.611,0.466,0.624,0.643,0.718,0.655,0.68,0.712,0.806,0.825,0.825,0.851,0.863,0.951,0.92,1.002,1.027,0.995,0.989,1.103,1.008,1.084,1.058,1.008,1.103,1.197,1.248,1.493,1.405,1.437,1.506,1.487,1.342,1.304,0.964,0.857,0.674,0.372,0.258,0.895,0.68,0.68,0.68,0.68,0.68,0.68
Burundi,0.355,0.432,0.421,0.443,0.255,0.299,0.277,0.277,0.199,0.255,0.255,0.211,0.166,0.155,0.177,0.177,0.244,0.211,0.277,0.321,0.377,0.377,0.465,0.344,0.388,0.355,0.277,0.288,0.266,0.177,0.177,0.166,0.122,0.144,0.066,0.111,0.299,0.355,0.321,0.344,0.377,0.388,0.344,0.211,0.222,0.332,0.366,0.366,0.355,0.366,0.299,0.355,0.332,0.332,0.477,0.532,0.521,0.521,0.477,0.41,0.399,0.244,0.266,0.366,0.366,0.521,0.743,0.975,1.773,1.696,1.962,2.117,2.206,2.416,2.66,2.206,2.771,2.505,2.438,2.882,2.826,2.549,2.804,2.616,2.616,3.203,2.904,2.726,2.582,2.15,1.807,1.773,1.352,1.263,1.042,1.153,1.009,1.031,0.986,0.964,0.809,1.097,1.186,1.119,1.341,1.385,1.596,1.74,1.751,1.762,2.294,2.05,2.061,1.928,1.973,2.084,2.194,2.061,2.028,2.028,1.895,1.795,1.552,1.308,1.13,1.297,1.275,1.43,1.419,1.518,1.574,1.574,1.629,1.696,1.64,1.618,1.585,1.596,1.685,1.518,1.507,1.552,1.474,1.474,1.507,1.596,1.651,1.662,1.696,1.851,2.05,2.106,2.172,2.183,2.128,2.294,2.05,2.183,2.305,2.228,2.472,3.236,3.502,4.4,4.422,4.71,5.076,4.921,4.223,4.134,3.414,3.125,2.893,2.671,2.693,2.671,2.605,2.804,2.616,2.361,2.05,1.906,1.862,1.419,1.197,1.518,1.452,1.541,1.707,1.729,1.818,1.862,1.773,1.674,1.685,1.629,1.607,1.651,1.74,1.762,2.15,2.095,2.206,2.383,2.327,2.571,2.416,2.449,2.616,2.704,2.605,2.616,2.15,2.128,1.84,1.674,1.496,1.408,1.263,1.286,1.263,1.263,1.197,1.119,1.186,1.552,1.529,1.618,1.917,2.361,2.394,2.616,2.416,2.616,2.516,2.46,2.017,2.006,1.718,1.685,1.64,1.618,1.208,1.142,1.086,1.186,1.186,1.142,1.263,1.629,1.718,1.829,1.895,1.818,1.984,2.15,2.084,2.25,2.305,2.616,3.026,2.815,3.613,4.666,6.096,7.525,7.115,7.969,9.387,10.551,11.227,10.562,10.329,10.352,11.072,11.815,11.172,12.003,14.297,14.353,18.365,16.192,16.37,16.979,16.669,14.896,14.441,11.338,13.078,13.444,12.978,12.502,13.832,13.632,13.111,13.787,13.267,13.333,13.632,12.59,13.255,13.344,12.313,12.058,11.925,12.347,12.269,11.604,11.937,12.901,12.646,12.402,13.012,17.301,19.961,21.801,23.518,23.696,24.017,22.732,18.054,15.018,12.602,10.385,9.653,7.758,8.357,8.734,8.567,8.922,8.811,10.23,13.466,12.236,11.682,12.136,12.125,12.158,11.006,8.534,8.312,8.069,7.282,7.415,6.827,5.996,5.697,5.542,5.054,5.242,4.555,4.189,3.923,3.757,2.76,2.516,2.383,2.316,1.873,1.651,1.607,1.629,1.529,1.574
